Pslack,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,Bus 10,Bus 11,System Loss
-23.626,1.3549,5.8815,2.9844,0.47451,0.69928,1.8419,0.56192,0.21853,0.38086,0.84288,0.93029,0.22201
-23.791,1.341,5.8213,2.9539,0.46966,0.69213,1.823,0.55617,0.21629,0.37696,0.83426,0.92077,0.22253
-15.674,2.022,8.7777,4.4541,0.70818,1.0436,2.7488,0.83863,0.32613,0.56841,1.2579,1.3884,0.2114
8.0266,3.9963,17.348,8.803,1.3996,2.0626,5.4328,1.6575,0.64457,1.1234,2.4862,2.744,0.34829
32.744,6.0358,26.202,13.296,2.1139,3.1153,8.2054,2.5033,0.97352,1.6967,3.755,4.1444,0.7181
61.519,8.3764,36.362,18.451,2.9337,4.3233,11.387,3.4741,1.351,2.3547,5.2111,5.7515,1.5631
82.732,10.086,43.784,22.217,3.5324,5.2057,13.711,4.1831,1.6268,2.8352,6.2747,6.9254,2.3538
94.44,11.026,47.865,24.288,3.8618,5.691,14.99,4.5731,1.7784,3.0996,6.8597,7.5711,2.8506
101.88,11.62,50.443,25.596,4.0697,5.9975,15.797,4.8194,1.8742,3.2665,7.2291,7.9788,3.2083
105.9,11.94,51.831,26.3,4.1817,6.1625,16.231,4.952,1.9258,3.3563,7.428,8.1983,3.4114
112.41,12.457,54.075,27.439,4.3627,6.4292,16.934,5.1664,2.0091,3.5016,7.7495,8.5532,3.7535
116.73,12.798,55.558,28.192,4.4824,6.6057,17.399,5.3081,2.0643,3.5977,7.9622,8.7879,3.9918
116.63,12.791,55.524,28.175,4.4797,6.6016,17.388,5.3049,2.063,3.5955,7.9573,8.7825,3.9863
114.61,12.631,54.833,27.824,4.4239,6.5194,17.172,5.2388,2.0373,3.5508,7.8582,8.6732,3.8743
103.41,11.742,50.97,25.864,4.1122,6.0602,15.962,4.8698,1.8938,3.3006,7.3047,8.0622,3.2846
84.372,10.22,44.366,22.513,3.5794,5.2749,13.894,4.2388,1.6484,2.8729,6.3581,7.0175,2.4054
64.654,8.6303,37.464,19.011,3.0226,4.4543,11.732,3.5794,1.392,2.426,5.3691,5.9259,1.6676
64.009,8.5781,37.238,18.895,3.0043,4.4274,11.661,3.5577,1.3836,2.4113,5.3366,5.89,1.6458
48.244,7.3039,31.706,16.089,2.5581,3.7698,9.9293,3.0293,1.1781,2.0532,4.5439,5.0151,1.0839
42.397,6.8271,29.637,15.039,2.3911,3.5237,9.2811,2.8315,1.1011,1.9191,4.2473,4.6877,0.92715
34.854,6.212,26.966,13.684,2.1756,3.2062,8.4449,2.5764,1.0019,1.7462,3.8646,4.2654,0.74767
20.353,5.0149,21.77,11.047,1.7564,2.5883,6.8174,2.0799,0.80885,1.4097,3.1198,3.4434,0.51843
7.9953,3.9937,17.337,8.7973,1.3987,2.0613,5.4293,1.6564,0.64415,1.1227,2.4846,2.7422,0.34794
-10.512,2.4538,10.652,5.4053,0.85941,1.2665,3.3359,1.0177,0.39578,0.68979,1.5266,1.6849,0.21978
-17.547,1.8651,8.0964,4.1084,0.65321,0.96263,2.5355,0.77354,0.30082,0.52429,1.1603,1.2806,0.21133
-17.624,1.8586,8.0683,4.0941,0.65095,0.95929,2.5267,0.77086,0.29978,0.52247,1.1563,1.2762,0.21136
-6.9982,2.7472,11.926,6.0514,0.96214,1.4179,3.7346,1.1394,0.44309,0.77225,1.7091,1.8863,0.23233
14.564,4.5372,19.696,9.9943,1.5891,2.3418,6.168,1.8818,0.7318,1.2754,2.8227,3.1154,0.43013
34.815,6.2087,26.952,13.676,2.1745,3.2045,8.4404,2.5751,1.0014,1.7453,3.8626,4.2631,0.74679
53.295,7.7071,33.456,16.977,2.6992,3.9778,10.477,3.1965,1.2431,2.1665,4.7947,5.2919,1.3226
66.142,8.7507,37.987,19.276,3.0648,4.5165,11.896,3.6293,1.4114,2.4599,5.444,6.0086,1.7188
68.525,8.9433,38.823,19.7,3.1322,4.6159,12.158,3.7092,1.4425,2.514,5.5638,6.1408,1.8026
67.005,8.8205,38.29,19.429,3.0892,4.5525,11.991,3.6583,1.4227,2.4795,5.4874,6.0565,1.7488
63.469,8.5344,37.048,18.799,2.989,4.4048,11.602,3.5396,1.3765,2.3991,5.3094,5.86,1.6276
63.172,8.5103,36.943,18.746,2.9806,4.3924,11.569,3.5296,1.3726,2.3923,5.2944,5.8435,1.6177
60.838,8.3212,36.122,18.33,2.9143,4.2948,11.312,3.4512,1.3421,2.3391,5.1768,5.7136,1.541
61.674,8.389,36.417,18.479,2.9381,4.3298,11.404,3.4793,1.3531,2.3582,5.2189,5.7602,1.5682
60.872,8.3239,36.134,18.336,2.9153,4.2962,11.316,3.4523,1.3426,2.3399,5.1785,5.7155,1.5421
58.531,8.1325,35.303,17.914,2.8482,4.1974,11.056,3.3729,1.3117,2.2861,5.0594,5.584,1.4806
49.727,7.4166,32.195,16.337,2.5975,3.8279,10.082,3.076,1.1962,2.0848,4.614,5.0925,1.2218
38.246,6.4879,28.164,14.291,2.2723,3.3486,8.8199,2.6908,1.0464,1.8238,4.0362,4.4548,0.82502
